Дата,Препарат,Город,Аптек,Мин. цена (тг),Средняя цена (тг),Макс. цена (тг),Медиана цены (тг),Чаще всего продают по (тг)
2026-05-10,"Танфлекс Форте спрей 0,3% 30 мл",Almaty,224.0,1890.0,3745.0,5600.0,3745.0,2835.0
2026-05-10,Танфлекс С горячий напиток саше №10,Almaty,187.0,230.0,1703.0,3175.0,1702.5,2270.0
2026-05-10,"Танфлекс спрей 0,15% 30 мл",Almaty,231.0,2060.0,2745.0,3430.0,2745.0,2525.0
2026-05-10,Танфлекс Плюс спрей 30 мл,Almaty,225.0,2335.0,2868.0,3400.0,2867.5,2700.0
2026-05-10,Лифта таблетки 10 мг №1,Almaty,24.0,2905.0,3253.0,3600.0,3252.5,3130.0
2026-05-10,Лифта таблетки 20 мг №1,Almaty,30.0,3350.0,3975.0,4600.0,3975.0,3820.0
2026-05-10,Лифта таблетки 5 мг №28,Almaty,169.0,26000.0,33555.0,41110.0,33555.0,31780.0
2026-05-10,Лифта таблетки 10 мг №2,Almaty,170.0,4337.0,5918.0,7500.0,5918.5,5530.0
2026-05-10,Лифта таблетки 5 мг №14,Almaty,61.0,14000.0,16870.0,19740.0,16870.0,14000.0
2026-05-10,Муконекс-С таблетки шипучие №20,Almaty,154.0,2320.0,4185.0,6050.0,4185.0,5075.0
2026-05-10,Муконекс-С таблетки шипучие №10,Almaty,198.0,2370.0,3513.0,4655.0,3512.5,3270.0
2026-05-10,"Ривоксар таблетки 2,5 мг №28",Almaty,56.0,6200.0,7155.0,8110.0,7155.0,6200.0
2026-05-10,Ривоксар таблетки 10 мг №30,Almaty,155.0,11670.0,13935.0,16200.0,13935.0,13870.0
2026-05-10,Ривоксар таблетки 15 мг №28,Almaty,137.0,11330.0,14515.0,17700.0,14515.0,14220.0
2026-05-10,Ривоксар таблетки 20 мг №28,Almaty,144.0,11220.0,15560.0,19900.0,15560.0,14460.0
2026-05-10,Тривентин таблетки 90 мг №56,Almaty,133.0,12000.0,19860.0,27720.0,19860.0,23320.0
2026-05-10,Урсозим капсулы 250 мг №120,Almaty,187.0,13000.0,15765.0,18530.0,15765.0,15825.0
2026-05-10,Урсозим капсулы 250 мг №60,Almaty,178.0,7000.0,9940.0,12880.0,9940.0,8700.0
2026-05-10,Урсозим капсулы 250 мг №30,Almaty,132.0,3880.0,4548.0,5215.0,4547.5,4530.0
2026-05-10,Годекс капсулы №50,Almaty,200.0,11000.0,13725.0,16450.0,13725.0,13170.0
2026-05-10,Ингалипт Н аэрозоль 30 мл,Almaty,1.0,16100.0,16100.0,16100.0,16100.0,16100.0
2026-05-10,Ингалипт аэрозоль 30 мл,Almaty,10.0,870.0,9060.0,17250.0,9060.0,1570.0
2026-05-10,Ингалипт форте с ромашкой аэрозоль 30 мл,Almaty,1.0,15525.0,15525.0,15525.0,15525.0,15525.0
2026-05-10,Ангал С спрей 30 мл,Almaty,218.0,2960.0,4595.0,6230.0,4595.0,3915.0
2026-05-10,Анзибел спрей оральный 30 мл,Almaty,192.0,1190.0,1785.0,2380.0,1785.0,1985.0
2026-05-10,"Тантум Верде спрей 0,255 мг/доза 30 мл",Almaty,208.0,2840.0,16083.0,29325.0,16082.5,3650.0
2026-05-10,Тайлол Хот порошок №12,Almaty,3.0,525.0,1613.0,2700.0,1612.5,2640.0
2026-05-10,ТайлолФен Хот порошок №12,Almaty,222.0,170.0,1885.0,3600.0,1885.0,2340.0
2026-05-10,ТераФлю от гриппа и простуды лимон №10,Almaty,232.0,2190.0,3375.0,4560.0,3375.0,2830.0
2026-05-10,Фервекс лимон порошок №8,Almaty,99.0,320.0,14823.0,29325.0,14822.5,2570.0
2026-05-10,Синегра таблетки 100 мг №1,Almaty,165.0,1240.0,8095.0,14950.0,8095.0,2775.0
2026-05-10,Синегра таблетки 50 мг №1,Almaty,147.0,850.0,2043.0,3235.0,2042.5,2260.0
2026-05-10,Максигра таблетки 100 мг №1,Almaty,151.0,2550.0,11913.0,21275.0,11912.5,3025.0
2026-05-10,Максигра таблетки 50 мг №1,Almaty,142.0,1640.0,11458.0,21275.0,11457.5,2300.0
2026-05-10,Арпегра таблетки 100 мг №4,Almaty,66.0,1160.0,1830.0,2500.0,1830.0,1410.0
2026-05-10,Сиалис таблетки 5 мг №14,Almaty,73.0,26180.0,34230.0,42280.0,34230.0,32970.0
2026-05-10,Сиалис таблетки 5 мг №28,Almaty,95.0,34650.0,48500.0,62350.0,48500.0,48545.0
2026-05-10,Тадалекс таблетки 5 мг №14,Almaty,123.0,10935.0,13308.0,15680.0,13307.5,12100.0
2026-05-10,Тадалекс таблетки 5 мг №28,Almaty,83.0,18980.0,22045.0,25110.0,22045.0,21930.0
2026-05-10,Трафил таблетки 5 мг №10,Almaty,19.0,5760.0,7025.0,8290.0,7025.0,8290.0
